Crab,Group,J1,J1_L,J2,J2_L,J3,J3_L,J4,J4_L,J5,J5_L,J6,J6_L,J7,J7_L
CH07_23,LB,4.74,4.92,6.33,5.72,8.85,7.53,10.39,8.75,12.25,10.06,----,----,----,----
CH07_24,LB,5.17,5.32,6.62,6.24,8.98,8.00,10.34,8.50,12.29,10.14,18.06,14.48,17.21,13.08
CH07_26,LB,5.59,5.32,7.27,6.11,9.59,7.72,11.04,9.35,13.54,10.79,,,,
CH01_P3,LB,----,,6.16,5.78,7.92,7.85,----,----,----,----,----,----,----,----
CH03_P4,LB,4.79,5.09,6.18,5.80,7.98,8.42,9.39,8.30,11.34,9.67,13.15,10.89,,
,,,,,,,,,,,,,,,
CH05_1,HB,4.71,5.22,6.31,5.84,8.55,7.61,9.90,8.51,12.36,10.42,15.06,11.93,16.62,13.64
CH05_11,HB,5.11,5.34,6.60,6.18,9.12,8.29,10.18,8.89,----,----,,,,
CH05_14,HB,5.03,5.05,6.03,5.61,7.28,6.35,8.97,7.72,11.32,9.53,13.97,11.41,,
CH05_17,HB,4.90,5.02,6.25,5.90,7.88,7.08,9.19,8.04,9.74,8.53,,,,
CH05_21,HB,4.63,4.66,5.87,5.63,7.71,7.08,8.93,7.65,11.64,9.57,14.60,12.24,17.31,12.52
CH05_31,HB,5.04,5.40,6.63,6.18,8.87,7.78,9.87,8.58,12.42,10.09,15.26,12.35,18.30,14.73
CH05_33,HB,4.85,5.26,6.12,5.80,7.80,7.13,9.05,7.95,11.16,9.65,10.52,8.90,13.06,10.73
CH05_36,HB,4.70,5.07,6.58,--,9.00,7.90,10.17,8.70,12.46,10.61,14.85,12.59,17.93,14.55
CH05_39,HB,4.88,5.06,6.73,6.30,9.07,7.88,10.48,9.04,12.48,10.61,,,,
CH09_3,HB,4.50,4.93,GONE,----,----,----,----,----,----,----,----,----,----,----
CH09_4,HB,4.81,5.07,6.33,5.87,7.57,6.90,----,----,----,----,----,----,----,----
CH09_10,HB,----,,6.41,6.07,8.21,7.22,10.17,8.54,12.34,9.25,14.90,11.61,14.35,11.47
CH09_11,HB,4.83,5.02,6.12,5.83,7.90,7.17,9.18,7.96,11.04,9.14,,,,
CH09_18,HB,4.78,4.92,6.34,5.57,8.53,7.45,9.75,8.31,12.26,10.37,14.95,11.93,17.13,13.47
CH09_19,HB,4.99,5.31,6.38,5.69,7.83,7.16,----,----,----,----,----,----,----,----
CH09_30,HB,4.70,5.17,6.25,6.03,7.50,7.42,9.73,8.55,11.64,10.21,14.67,11.75,17.45,14.40
CH09_32,HB,----,,6.42,6.07,8.69,7.62,9.20,8.02,11.68,9.67,14.59,12.08,----,----
CH09_39,HB,4.62,5.06,5.98,5.68,7.69,7.35,8.61,7.90,----,----,----,----,----,----
CH10_1,HB,4.99,5.08,6.42,6.03,7.95,7.03,9.57,8.03,12.30,10.48,13.97,10.78,,
CH10_2,HB,4.97,5.25,6.78,6.32,9.04,8.07,10.47,8.84,12.48,10.50,15.28,12.57,18.90,15.16
CH10_6,HB,4.78,4.89,6.06,5.85,7.46,6.86,9.19,8.10,11.50,9.19,14.34,11.75,----,----
CH10_10,HB,5.07,5.23,----,----,----,----,----,----,----,----,----,----,----,----
CH10_13,HB,5.28,5.46,7.27,6.59,9.85,8.76,10.99,9.31,13.30,11.30,16.05,12.96,19.21,
CH10_14,HB,4.61,5.35,6.07,5.64,8.15,7.41,9.04,7.70,----,----,----,----,----,----
CH10_17,HB,4.39,4.70,5.41,5.27,7.86,7.08,9.74,8.42,12.33,10.23,11.70,9.90,13.41,
CH10_19,HB,4.75,4.82,5.87,5.46,7.99,6.86,9.10,7.41,11.16,9.48,13.65,11.21,15.88,
CH10_22,HB,5.04,5.41,6.86,6.35,8.09,7.39,9.20,8.27,11.32,9.95,13.85,11.61,16.43,
CH10_25,HB,4.84,5.20,5.98,5.67,----,----,----,----,----,----,----,----,----,----
CH10_32,HB,4.77,5.00,6.31,5.95,7.70,7.05,8.85,7.87,11.29,9.88,13.01,10.93,15.93,13.26
,,,,,,,,, ,,,,,,
CH01_5,LC,4.81,5.04,DEAD,----,----,----,----,----,----,----,----,----,----,----
CH01_6,LC,4.75,4.87,5.72,5.51,8.14,7.22,9.55,8.15,11.59,9.42,13.65,11.56,16.53,13.09
CH01_14,LC,----,----,6.73,6.27,8.71,7.45,11.07,9.18,13.04,10.08,13.14,11.13,----,----
CH01_16,LC,4.91,5.23,6.31,6.00,7.36,6.76,8.39,7.53,----,----,----,----,----,----
CH01_20,LC,----,----,6.81,6.19,----,----,----,----,----,----,----,----,----,----
CH01_27,LC,4.93,5.13,6.47,5.97,8.85,7.73,10.09,8.68,11.55,9.75,----,----,----,----
CH01_30,LC,4.74,5.00,6.29,5.93,7.77,6.97,9.72,8.22,12.28,10.11,----,----,----,----
CH01_41,LC,5.26,5.43,7.23,6.45,8.67,6.79,10.86,9.60,16.04,13.66,----,----,----,----
CH03_2,LC,5.05,5.43,7.09,6.44,9.69,8.43,11.02,9.18,12.11,10.29,----,----,----,----
CH03_5,LC,4.80,5.13,5.99,5.85,8.58,7.17,9.94,8.36,12.50,10.53,----,----,----,----
CH03_8,LC,4.90,5.51,6.56,6.09,8.64,7.56,9.68,8.56,14.09,11.35,----,----,----,----
CH03_16,LC,4.76,5.16,GONE,----,----,----,----,----,----,----,----,----,----,----
CH03_29,LC,----,----,6.76,5.67,8.31,7.35,11.22,9.18,12.67,10.36,----,----,----,----
CH03_32,LC,----,----,6.71,6.19,8.08,6.57,10.26,8.92,12.52,9.72,15.15,12.36,----,----
