Crab,Group,J1,J1_L,J2,J2_L,J3,J3_L,J4,J4_L,J5,J5_L,J6,J6_L,
CH05_17,HB,5.13,5.18,6.35,6,7.42,6.66,9.2,8.11,10.96,9.45,,,
CH05_21,HB,4.78,5.09,5.95,----,7.04,6.69,8.99,7.91,11.42,9.79,14.52,11.96,
CH05_31,HB,5.33,5.59,7.08,6.58,8.21,7.31,9.86,8.51,12.21,10.34,15.01,12.09,
CH05_33,HB,5,5.42,6.4,6.11,8.42,7.83,9.06,7.97,11.07,9.37,----,----,
CH05_36,HB,4.98,5.23,6.94,6.73,8.52,7.5,10.01,8.77,12.48,10.55,15.41,12.61,
CH05_39,HB,5.22,5.56,6.62,6.18,8.33,7.43,10.2,8.84,,,,,
CH09_3,HB,4.67,,----,,----,,----,,,,,,
CH09_4,HB,5.09,,6.09,5.7,DEAD,,----,,,,,,
CH09_10,HB,5.15,,6.46,5.72,Dropped,,10.11,8.32,13.54,11.43,----,----,
CH09_11,HB,5.18,5.28,6.33,5.85,7.25,6.65,9.4,8.42,14.37,12.14,,,
CH09_18,HB,5.01,5.09,6.45,5.95,8.23,----,9.81,8.36,12.27,10.26,14.96,11.98,
CH09_19,HB,5.22,,6.35,6.24,GONE,,----,,,,,,
CH09_30,HB,4.86,5.43,6.65,6.12,7.89,7.28,9.57,8.55,11.67,10.03,14.54,12.21,
CH09_32,HB,Crushed,,6.32,6.08,8.25,7.17,9.04,8,11.34,9.73,,,
CH09_39,HB,4.59,----,5.8,6.33,7.4,,DEAD,,,,,,
CH10_1,HB,4.98,5.4,6.37,6.18,7.76,6.8,10.01,8.71,12.07,10.18,,,
CH10_2,HB,5.19,5.53,7.1,6.67,8.68,7.78,10.41,9.02,12.22,10.45,15.17,12.45,
CH10_6,HB,4.88,5.4,6.41,6.21,7.53,----,9.17,8.1,11.22,9.68,,,
CH10_10,HB,DEAD,,----,,----,,----,,,,,,
CH10_13,HB,5.54,5.7,7.14,6.58,9.26,8.3,10.96,9.3,13.44,11.33,15.86,13.25,
CH10_14,HB,4.98,5.33,6.35,5.97,,,DEAD,,,,,,
CH10_17,HB,4.5,4.97,6.85,6.16,7.86,6.95,9.66,8.17,,,11.92,10.03,
CH10_19,HB,4.93,5.2,Crushed,,7.54,6.75,8.97,7.79,11.21,9.33,13.69,11.22,
CH10_22,HB,5.44,5.62,7.25,6.93,8.04,7.5,9.58,8.53,11.18,9.78,14.15,12.07,
CH10_25,HB,5.11,5.45,DEAD,,----,,,,,,,,
CH10_32,HB,Crushed,,6.53,6.2,7.49,6.77,8.82,7.78,10.86,9.23,12.9,10.78,
,,,,,,,,,,,,,,
CH01_5,LC,5.73,5.3,----,----,----,----,----,----,----,----,----,----,----
CH01_6,LC,4.71,4.96,5.87,5.53,7.44,6.8,9.53,8.16,11.38,9.48,14.23,10.79,
CH01_14,LC,4.98,5.38,6.85,6.2,8.68,7,10.63,8.94,12.66,10.61,,,
CH01_16,LC,5.21,----,6.28,6.15,8.68,7.71,DEAD,----,----,----,----,----,----
CH01_20,LC,Dissolved,----,Dead,----,----,----,----,----,----,----,----,----,----
CH01_27,LC,5.2,5.4,6.86,6.48,8.61,7.24,10.5,9.28,,,,,
CH01_30,LC,4.92,5.1,6.54,6.14,8.1,7.24,9.79,8.55,,,,,
CH01_41,LC,5.18,5.45,7.04,6.71,9.35,8.07,12.21,9.86,,,,,
CH03_2,LC,Dropped,----,7.03,6.31,9.15,7.95,9.3,8.35,,,,,
CH03_5,LC,5.01,5.17,6.62,6.18,8.15,7.12,----,----,,,,,
CH03_8,LC,5.41,5.69,6.47,6.01,7.85,7.05,crushed,,,,,,
CH03_16,LC,Dropped,----,----,,----,----,----,,,,,,
CH03_29,LC,Dissolved,----,6.11,6.28,8.33,7.66,10.74,9.24,,,,,
CH03_32,LC,5.02,5.4,6.63,6.1,7.91,7.07,----,----,13.59,11.39,,,
CH07_3,LC,5.6,5.73,7.28,6.73,9.49,8.35,11.64,9.91,,,,,
CH07_6,LC,5.29,5.43,7.22,6.61,Dropped,----,----,----,14.27,12.15,,,
CH07_8,LC,4.96,5.14,Crushed,,----,----,----,----,10.74,9.08,,,
CH07_9,LC,DEAD,----,----,,----,----,----,,,,,,
CH07_11,LC,5.1,5.42,6.56,6.34,7.68,7.26,----,,12.87,10.95,,,
CH07_17,LC,Dissolved,----,6.37,6.07,7.53,7.03,10.72,9.55,,,,,
CH07_21,LC,Dissolved,----,6.67,6.23,----,----,----,,,,,,
CH07_22,LC,4.74,5.09,6.27,5.91,7.78,7.07,DEAD,,,,,,
CH07_25,LC,5,5.14,6.4,6.02,8.11,7.26,10.1,8.81,,,,,
CH03_P5,LC,DEAD,----,----,----,----,----,----,----,----,----,----,----,----
CH07_P6,LC,4.97,5.39,6.47,6.22,7.96,7.1,10.08,8.97,17.35,13.98,,,
,,,,,,,,,,,,,,
CH05_2,HC,4.82,5.19,6.06,6.08,7.68,7.15,8.9,7.92,11.21,9.53,14.01,11.77,
CH05_5,HC,Dropped,,7.01,6.48,8.14,7.25,10.25,8.69,12.31,10.57,,,
CH05_7,HC,5.04,5.48,6.45,6.29,9.33,8.58,10.28,9.06,11.41,9.49,,,
CH05_9,HC,5.17,5.45,6.65,6.01,8.5,7.56,crushed,,12.55,10.65,,,
CH05_13,HC,5.33,5.57,6.68,6.52,8.84,7.9,10.27,8.86,12.71,10.51,,,
CH05_24,HC,5.31,5.38,6.68,6.54,8.09,7.31,10.39,9.07,12.28,10.65,,,
CH05_26,HC,4.75,5.11,6.51,5.88,8.27,7.44,10.25,8.64,12.48,10.32,,,
